content,category
"Võ sĩ MMA bị knock-out lạ kỳ vì... 'đụng đầu' với đối thủ TTO - Trong lúc cố gắng tấn công, võ sĩ người Nga Kiril Fomenkov vô tình đụng đầu với đối thủ và bị knock-out một cách kỳ lạ ở trận so tài với Aleksandr Yakovenko ngày 30-5, tại sự kiện Eagle Fighting Championship của Nga.",Thể thao
"Thi đấu từ máy bay ở độ cao 6.096m, ngôi sao 6.000 lần nhảy dù tử nạn TTO - Ngôi sao nhảy dù 30 tuổi Dimitri Didenko đã tử nạn ngày 15-3, sau khi rơi từ độ cao 20.000 ft (6.096m) trong lúc đang thi đấu ở Giải vô địch nhảy dù Úc 2021. chiếc dù của anh gặp sự cố không thể mở ra được trong lúc thi đấu. Qua điều tra, cảnh sát Úc kết luận đây là một tai nạn và ""gây ớn lạnh"" cho tất cả những người đã chứng kiến. Cảnh sát Úc cho biết cụ thể: "" Trong khoảng thời gian từ 13h chiều đến 14h30, người đàn ông đã nhảy từ một chiếc máy bay và người ta tin rằng chiếc dù của anh ấy đã không được mở đúng cách khiến anh ấy rơi xuống đất. Anh ấy bị thương rất nặng và chết tại hiện trường, dù đội cứu thương đã cố gắng cứu chữa"".",Thể thao
"Tay đua 19 tuổi Jason Dupasquier qua đời sau tai nạn kinh hoàng trên đường đua TTO - Tay đua môtô Jason Dupasquier đã trút hơi thở cuối cùng tại Bệnh viện Careggi ở Florence, sau khi bị tai nạn kinh hoàng ở chặng đua Italian Grand Prix sáng 30-5. Ayumu Sasaki, rồi xe của tay đua người Tây Ban Nha Jeremy Alcoba và lăn nhiều vòng trước khi anh nằm bất động bên lề đường. Máy bay trực thăng đã được điều động để đưa Jason Dupasquier vào Bệnh viện Careggi ở Florence của Ý cấp cứu. Nhưng mọi thứ đã quá trễ, tay đua trẻ này không thể qua khỏi. chia buồn trên Twitter: ""Chúng tôi vô cùng đau buồn khi thông báo về sự ra đi của Jason Dupasquier. Thay mặt cho toàn bộ gia đình MotoGP, xin gửi tình yêu của chúng tôi đến đội đua, gia đình và những người thân yêu của anh ấy. Mọi người sẽ vô cùng nhớ Jason. Hãy ra đi thanh thản"". Đội Pruestel GP của Jason Dupasquier cũng rút khỏi cuộc đua. Riêng hai tay đua Ayumu Sasaki và Jeremy Alcoba liên quan đến vụ tai nạn kinh hoàng này chỉ bị thương nhẹ. Các nhà tổ chức báo cáo rằng cả hai đều ""ổn"". tại đường Spanish GP. Dupasquier là tay đua Grand Prix đầu tiên tử nạn trên đường đua, kể từ khi tay đua Moto2 Luis Salom qua đời một cách bi thảm trong buổi tập luyện cho giải Catalan GP 2016.",Thể thao
"Giận liên đoàn, CĐV Indonesia không vào sân cổ vũ đội tuyển đá với Malaysia TTO - Nhiều CĐV Indonesia đang sinh sống tại Malaysia đã quyết định không vào sân Bukit Jalil để xem trận đấu với chủ nhà như một cách phản đối Liên đoàn Bóng đá Indonesia (PSSI). Thời gian qua, PSSI bị nhiều CĐV Indonesia phản đối vì khiến cho nền bóng đá nước nhà suy yếu, đặc biệt là thành tích bết bát của đội tuyển tại vòng loại World Cup 2022 (toàn thua ở bảng G).",Thể thao
"Võ sĩ hạng nặng đánh nhau trên sàn đấu, khán giả hỗn chiến còn 'điên rồ hơn' TTO - Trận đấu quyền anh hạng nặng giữa cựu vô địch thế giới Andy Ruiz với đối thủ Chris Arreola ngày 2-5 diễn ra ""hết sức dữ dội"" đúng nghĩa, từ sàn đấu đến khán đài. Khán giả đánh nhau tưng bừng đến mức phải nhờ cảnh sát can thiệp. Màn đánh nhau này của người hâm mộ sau đó được lan truyền trên mạng xã hội và gây sốc cho tất cả mọi người. Nhà vô địch thế giới hạng trung Sergio Mora viết trên Twitter: ""Đánh nhau ở khắp mọi nơi"".",Thể thao
"Duy Mạnh, Đình Trọng, Minh Vương đã bình phục chấn thương TTO - Trong buổi tập tối 30-5, ba tuyển thủ Duy Mạnh, Đình Trọng, Minh Vương đã trở lại tập cùng toàn đội.",Thể thao
"Vòng đấu cuối Giải ngoại hạng Anh (Premier League): Sẽ có địa chấn? TTO - Với diễn biến kịch tính quen thuộc của Premier League, sẽ thật sai lầm nếu cho rằng Chelsea và Liverpool đã cầm chắc vé dự Champions League mùa tới trong tay. 22h ngày 23-5 (giờ VN) sẽ diễn ra lượt trận cuối cùng của Premier League mùa giải 2020 - 2021, tâm điểm sẽ là những trận đại chiến liên quan đến cuộc đua giành vé dự cúp châu Âu. (58 điểm). của mình.",Thể thao
"Đội tuyển Việt Nam tiếp tục xét nghiệm COVID-19 trước trận gặp Jordan TTO - Ngày 29-5, toàn bộ các thành viên đội tuyển bóng đá Việt Nam đã tiến hành xét nghiệm RT-PCR phòng ngừa COVID-19. Đây là quy định bắt buộc của Liên đoàn Bóng đá châu Á (AFC) đối với các đội tuyển trước khi tiến hành bất kỳ hoạt động thi đấu nào trong giai đoạn tập huấn chuẩn bị cho các trận đấu tại vòng loại World Cup. Do vậy, cũng giống như Việt Nam, trong ngày hôm nay các thành viên tuyển Jordan cũng đã tiến hành lấy mẫu xét nghiệm RT-PCR. Theo quy định của AFC, nếu có trường hợp nào dương tính với COVID-19, trường hợp đó sẽ được đưa đi cách ly tập trung 10 ngày tại cơ sở y tế của UAE. Những thành viên còn lại có kết quả âm tính sẽ tiếp tục tham gia các hoạt động của đội tuyển. 23h tối nay theo giờ Việt Nam, thầy trò HLV Park Hang Seo sẽ bước vào buổi tập thứ ba trong giai đoạn tập huấn tại UAE.",Thể thao
"Video: Thống kê và phong độ của ba thủ môn đội tuyển Việt Nam TTO - Đội tuyển Việt Nam dự vòng loại thứ 2 World Cup 2022 với 3 thủ môn Bùi Tấn Trường, Nguyễn Văn Toản và Nguyễn Văn Hoàng. Tối 29-5, HLV Park Hang Seo đã quyết định không triệu tập thủ môn Đặng Văn Lâm để bảo đảm phòng chống dịch COVID-19.",Thể thao
"HLV Nishino 'hài lòng' dù đội tuyển Thái Lan thua đội hạng hai TTO - Trong lần đầu tiên tập trung trở lại sau COVID-19, đội tuyển Thái Lan đã thất bại 0-1 trước CLB Nakhon Pathom đang thi đấu ở Thai League 2. Nói với tờ Siam Sports ngày 11-10, HLV Akira Nishino khẳng định ông cảm thấy ""hài lòng"". Chúng tôi không thể bình luận nhiều về trận đấu. Nhưng tôi cảm thấy hài lòng vì nó sẽ giúp các cầu thủ có thêm kinh nghiệm. Các cầu thủ sẽ trở về các CLB và phải cố gắng hơn nữa để có thể được gọi trở lại đội tuyển. Tôi sẽ tiếp tục theo dõi phong độ của họ trong màu áo các CLB"". Tình hình thời tiết mưa lớn và sân bãi không tốt cũng khiến cầu thủ không thể hiện hết khả năng. Các cầu thủ phải học cách thích nghi khi mọi thứ không diễn ra như mong đợi"". xin cảm ơn tất cả người hâm mộ Thái Lan và các quan chức Liên đoàn bóng đá Thái Lan đã hỗ trợ để tổ chức trận đấu. Tôi nghĩ rằng hai đội đã cố gắng hết sức và chiến đấu hết mình"".",Thể thao
